name,type,rating,dollar_sign,address,zip_code
lacha somutm,thai,4.6,1,5171 hollywood blvd,90027
taron bakery,armenian,4.5,1,4950 hollywood blvd,90027
chuan chim thai cafe,thai,4.6,1,5644 hollywood blvd,90028
natalie peruvian seafood restaurant,seafood,4.3,1,5759 hollywood blvd,90028
siam sunset,thai,4.6,1,5265 sunset blvd,90027
all time,breakfast,4.3,1,2040 hillhurst ave,90027
la rose cafe,filipino,4.5,1,4749 fountain ave,90029
tlayuda la restaurant,mexican,4.5,1,5450 santa monica blvd,90029
dear bella creamery,ice cream,4.6,1,1253 vine st #12,90038
musso & frank grill,american,4.6,3,6667 hollywood blvd,90028
el churrasco chapin,guatemalan,4.4,1,820 n western ave,90029
le coupe,chicken,4.7,1,709 n western ave,90029
luv2eat thai bistro,thai,4.5,2,6660 sunset blvd,90028
ramen tatsunoya,ramen,4.5,1,3440 sunset blvd,90026
wow choripan,argentinian,4.6,1,375 n western ave,90004
all day baby,breakfast,4.2,1,3200 susnset blvd,90026
saikai ramen bar,ramen,4.8,2,209 n western ave #b,90004
astro family restaurant,diner,4.3,1,2300 fletcher dr,90039
daybird,chicken,4.8,1,240 n virgil ave suite 5,90004
bodega park,sandwich,4.5,1,2852 sunset blvd,90026
farina pizza,pizza,4.8,1,119 s western ave,90004
oui melrose,restaurant,4.5,1,6909 melrose ave,90038
barn cafe and restaurant,restaurant,4.5,1,228 s oxford ave,90004
all angolo pizza and pasta,pizza,4.3,1,4050 w 3rd st,90020
mini kabob,armenian,4.8,2,313 1/2 vine st,91204
dollar hits,filipino,4.4,1,2432 w temple st,90026
mensch bakery,bakery,4.6,2,7122 beverly blvd,90036
foxy's restaurant,american,4.5,1,206 w colorado st,91204
kubo restaurant,filipino,4.1,1,2330 w temple st,90026
yakis the original teriyaki,restaurant,4.3,1,904 w alameda ave,91506
maxs restaurant,filipino,4.2,2,313 w broadway,91204
bea beas,breakfast,4.3,1,301 n central ave,91203
monta factory,restaurant,4.7,1,1208 w glenoaks blvd,91201
sasoun bakery,bakery,4.7,1,625 e colorado st,91205
nerssess vanak restaurant,persian,4.5,2,6524 san fernando rd,91201
cofax,cafe,4.3,1,440 n fairfax ave,90036
little ongpin,filipino,3.9,1,1700 beverly blvd,90026
button mash,tacos,4.5,2,1391 sunset blvd,90026
corner cottage,breakfast,4.6,1,310 s vicotry blvd,91502
guelaguetza restaurant,mexican,4.3,2,3014 w olympic blvd,90006
carribean soul kitchen la,caribbean,4.7,2,5354 wilshire blvd,90036
langers deli,deli,4.6,2,704 s alvarado,90057
met her at a bar,cafe,4.6,1,759 s la brea,90036
the parks finest,filipino,4.5,2,1267 w temple st,90026
valerie confections,chocolate cafe,4.3,3,1936 w glenoaks blvd,91201
lutong bahay restaurant,filipino,4.2,1,3756 w ave 40,90065
auntie dees pan de manila,bakery,4.3,1,3756 w ave 40 #1g,90065
irvs burgers,hamburger,4.4,1,1000 s la brea ave,90019
kusina filipina los angeles,filipino,4.2,2,4157 eagle rock blvd,90065
la cevicheria,seafood,4.4,2,3809 w pico blvd,90019